fen,score
6k1/2p1Rpp1/7p/1Q6/8/1Pb4P/P1P2PPK/3r4 b - - 2 26,-672.0
rn1qkbnr/pb4pp/1p2pp2/3pP3/3P1P2/2N2N2/PP4PP/R1BQKB1R b KQkq - 3 8,-155.0
rnbqkbnr/pp1ppppp/2p5/8/8/4P3/PPPP1PPP/RNBQKBNR w KQkq - 0 2,27.0
r4r2/PQ6/2ppk3/6p1/4P3/3P2P1/2P3KP/R7 w - - 2 39,1695.0
r3k2r/1bq3bp/p5p1/1p1p1p2/3B1PB1/2P5/PP4PP/R2Q1RK1 b kq - 0 17,206.0
rnbqkbnr/pppppppp/8/8/8/3P4/PPP1PPPP/RNBQKBNR b KQkq - 0 1,3.0
r1bq1rk1/1ppp2pp/p3pn2/2b5/2P5/2NnP2N/PP1B1PPP/R2QK2R w KQ - 0 10,-631.0
r4rk1/1p1n1ppn/p5p1/3Nq3/3NP2P/P4P2/1P3QP1/2RR2K1 b - - 0 26,-132.0
rnbqkbnr/pp3ppp/8/2p4Q/3p4/5N2/PPPPNPPP/R1B1KB1R b KQkq - 1 6,189.0
4r3/pp1k1ppp/2p5/3nRP2/2B5/N1P5/PP4PP/6K1 w - - 1 21,531.0
8/r4pk1/4p2b/1RN1P2p/P2NK3/6PP/8/8 w - - 3 40,622.0
rn1qkb1r/pppb1p1p/4p2n/3pP3/3P2p1/2PBQ3/PP1NNPPP/R1B1K2R w KQkq - 2 11,277.0
4N1k1/2R3p1/3r1p1p/8/8/1P3P1b/PK5P/4R3 b - - 7 37,-660.0
r1b1k2r/pp3ppp/8/b1nNP3/1P5P/2P1PPB1/P7/3RKBNR b K - 0 17,-761.0
2k5/ppp5/2np1p2/4p1p1/4P1q1/N1PP4/PP3P2/2K4Q w - - 0 21,-21.0
4R3/p1p2p1k/6pp/2p2q2/2PpQ3/3PB2P/2P3PK/r7 b - - 0 39,0.0
2rq2k1/1p2p1bp/p5p1/4pb2/PPp5/2B5/R1PN1PPP/4R1K1 b - - 7 23,606.0
r1bqk1nr/pppp1ppp/2n5/3Np3/1bB1P3/8/PPPP1PPP/R1BQK1NR b KQkq - 5 4,-32.0
r1r3k1/5ppb/p6p/4PP2/6P1/2R4P/PPP5/2KR4 w - - 1 27,0.0
8/5pkp/2p3p1/8/2K5/1P2rP2/8/6R1 b - - 2 35,660.0
rnbqkbnr/ppp4p/3p4/4p1p1/4Pp2/2NP1NP1/PPP2PBP/R1BQK2R b KQkq - 1 6,-2.0
rnb1kbn1/pppp4/4pp2/8/2PP2p1/2N1P3/PP1KBP1q/R1B2QN1 w q - 2 13,97.0
5r2/1ppk3p/3b2p1/1P6/P3p3/8/2PB2PP/3R2K1 b - - 0 30,40.0
