fen,score
2kr4/ppp5/3p1nqp/6p1/4P3/2NPP2P/PPP3P1/R2Q1RK1 w - - 3 17,633.0
8/1R6/2pp4/p3p1k1/4P3/P2P3p/1PP3PP/6K1 w - - 0 32,694.0
r1b1k1nr/pppp1pp1/3q3p/2bNn3/5B2/5NP1/PPP2P1P/R2QKB1R b KQkq - 1 10,-40.0
rnbqkbnr/pp1ppppp/8/2p5/8/6PB/PPPPPP1P/RNBQK1NR b KQkq - 1 2,20.0
r2q3k/2p3p1/1p1p1p1p/pP1Q4/Pb1pNP2/3Pr2P/1B4PN/R4RK1 b - - 2 23,350.0
r4rk1/6pp/bq2pn2/3p4/1p1P4/R1B2N2/1P3PPP/3QR1K1 w - - 0 20,8.0
4R3/bpp2kpp/p5n1/3p4/3P3r/2P4P/PP6/7K w - - 2 32,-684.0
2Q2b2/6qk/8/3p1R1p/1P1P1P2/4P2P/5BP1/6K1 b - - 0 37,682.0
r2q1rk1/1p3pp1/p1n1pn1p/b6b/1P1P4/P1N1PN1P/3BBPP1/R2Q1RK1 b - - 0 13,135.0
rnbqkbnr/ppp1p1pp/5p2/8/2BPP3/8/PP3PPP/RNBQK1NR b KQkq - 0 4,223.0
r2qk2r/pp1b1p2/5bn1/2p5/3p1Bp1/3P2Pp/PPP1B2P/R2Q1RK1 w kq - 0 21,-328.0
6k1/pb2pp1p/3p2p1/p2P4/rq2PNP1/4nP2/4B1KP/3Q1R2 w - - 7 29,-500.0
r1bqkbnr/pp1ppppp/2n5/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,64.0
rn3rk1/ppp2ppp/4b3/q3p3/8/bPB2P2/P1PPN1PP/1K1R1B1R b - - 8 12,-508.0
3qkbnr/p4ppp/1pb1p3/2p1P3/3p4/3P1P2/PPP3PP/RNBQK1NR w KQk - 0 10,384.0
rn1qkb1r/pbp2ppp/1p2p3/8/3P4/2n1PNP1/PP3P1P/R1BQKB1R w KQkq - 0 8,-29.0
rnbqkbnr/pp2pppp/3p4/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,105.0
3r4/p1k1q3/1p2P3/3Q3p/3P4/P1P5/6PP/4R1K1 w - - 1 35,633.0
r1b1k3/pp3prp/4p3/q2p4/2P5/3Q4/P1P3PP/R4RK1 w q - 0 16,-213.0
8/2rk1p1p/r1b1p1p1/1p1p1P2/1R1B1KP1/1n4P1/P1P1R3/8 w - - 0 37,-48.0
r5k1/pp3pp1/2p4q/2P4n/PP2r3/7P/5PB1/R2Q2K1 w - - 0 27,-161.0
r1bqk2r/pppp2pp/2n2n2/4ppBP/1b6/2NP4/PPP1PPP1/R2QKBNR w KQkq - 4 6,-12.0
